query	count
"boarded,boat"	1
"boat,got"	1
"boat,platform"	1
"boat,reporter"	1
"boats,approached"	1
"boats,bayou"	1
"boats,crew"	1
"boats,helicopters"	1
"boats,passed"	1
"boats,positioned"	1
"boats,used"	1
"bodies,lives"	1
"body,exactly"	1
"body,language"	2
"body,like"	1
"body,mind"	1
"body,movements"	1
"body,shoulders"	1
"body,telling"	1
"bold,culture"	1
"bombs,onto"	1
"bond,formed"	1
"bond,offering"	1
"bonds,cover"	1
"bonds,provide"	2
"bonuses,new"	1
"boom,past"	1
"booming,economy"	1
"boon,project"	1
"born,cyprus"	1
"boudreauxs,thibodeauxs"	1
"bought,hundreds"	1
"bought,majority"	1
"bought,one"	1
"box,invalid"	4
"bp,exxon"	1
"brace,checking"	1
"brand,declining"	1
"brand,manage"	1
"brand,name"	1
"branded,bathrobes"	1
"branding,mr"	1
"breaches,management"	1
"bread,crust"	1
"breadth,subpoena"	1
"breaux,bridge"	1
"breaux,democrat"	1
"bridge,intended"	1
"bridge,presentation"	1
"brief,statement"	1
"briefed,matter"	1
"briefing,last"	1
"briefing,newsletter"	1
"briefing,president"	1
"briggs,top"	1
"bring,billion"	1
"bring,excitement"	1
"bring,increased"	1
"bring,new"	1
"bringing,investigation"	1
"broadcasting,network"	1
"broadening,inquiry"	1
"broader,hotel"	1
"broadly,last"	1
"brody,host"	1
"brodylast,august"	1
"broke,october"	1
"broken,components"	1
"broken,stuff"	1
"bromwich,former"	2
"bromwich,like"	1
"bromwich,said"	1
"brought,evangelicals"	1
"brought,evangelism"	1
"brought,three"	1
"brownsville,tex"	1
"bruni,argues"	1
"bruni,observes"	1
"bsee,benefits"	1
"bubble,ocean"	1
"budget,priorities"	1
"bugs,bunny"	1
"building,boom"	1
"building,computer"	1
"building,hotel"	1
"building,idea"	1
"building,identity"	1
"building,legal"	1
"building,opened"	2
"building,panama"	1
"building,trump"	1
"built,ruptured"	1
"bullies,insults"	1
"bumped,much"	1
"bunny,conducting"	1
"burdens,industry"	1
